Solution 1,Solution 2,Cluster 1,Cluster 2,adjusted_rand Similarity
6,23,1,0,0.9033857596652979
6,23,2,2,0.6147218907355124
6,24,3,0,1.0
6,24,1,3,1.0
6,24,0,1,1.0
6,24,2,2,0.9279281604004851
6,25,3,2,1.0
6,25,1,1,1.0
6,25,2,0,0.6127086083869533
7,8,2,1,1.0
7,8,0,2,1.0
7,8,1,3,0.9228264538288958
7,8,3,0,0.3336259877085162
7,9,3,2,1.0
7,9,0,1,1.0
7,9,1,0,1.0
7,9,2,3,0.3307086614173228
7,10,0,3,1.0
7,10,1,2,0.9568486767353087
7,10,3,0,0.9519701670367419
7,10,2,1,0.3279648609077599
7,11,3,3,1.0
7,11,2,1,1.0
7,11,0,2,0.8571668486018977
7,11,1,0,0.7465658609306782
7,12,0,2,1.0
7,12,3,1,0.9447904527029592
7,12,2,3,0.7951565383494674
7,12,1,0,0.6288766147806637
7,13,0,0,1.0
7,13,1,1,0.9051951751393766
7,13,3,3,0.6668678334339168
7,13,2,2,0.2690969041949075
7,14,3,3,1.0
7,14,0,2,1.0
7,14,1,0,0.8230967998409859
7,14,2,1,0.1577464788732394
7,15,0,3,1.0
7,15,2,0,0.9502324564399114
7,15,1,2,0.839784245154407
7,15,3,1,0.34221510276831435
7,16,2,1,1.0
7,16,0,0,1.0
7,16,1,2,0.8727346610156618
7,16,3,3,0.41814960017268116
7,17,3,1,1.0
7,17,2,2,1.0
7,17,1,0,1.0
7,17,0,3,0.3497400637263123
7,18,2,1,1.0
7,18,0,3,1.0
7,18,1,0,1.0
7,18,3,2,0.34968255418119154
7,19,0,0,1.0
7,19,3,1,0.9447904527029592
7,19,2,3,0.88880820550059
7,19,1,2,0.6288766147806637
7,20,3,3,1.0
7,20,0,2,1.0
7,20,1,0,0.8230967998409859
7,20,2,1,0.1577464788732394
7,21,2,3,1.0
7,21,0,2,1.0
7,21,1,1,1.0
7,21,3,0,0.27952067284433024
7,22,3,3,1.0
7,22,0,0,1.0
7,22,1,2,0.8149532710280374
7,22,2,1,0.35551625027636524
7,23,0,3,1.0
7,23,3,0,0.9483089751458804
7,23,1,1,0.9051951751393766
7,23,2,2,0.2690969041949075
7,24,3,3,1.0
7,24,2,1,1.0
7,24,1,0,0.9518554068189523
7,24,0,2,0.4819347523699314
7,25,3,2,1.0
7,25,1,1,1.0
7,25,2,0,0.348688625463371
8,9,1,1,1.0
8,9,0,3,1.0
8,9,3,2,0.9234963294788943
8,9,2,0,0.9090852200344188
8,10,3,2,1.0
8,10,1,3,1.0
8,10,2,0,0.7117752226817633
8,10,0,1,0.49358739738715385
8,11,3,1,1.0
8,11,1,3,1.0
8,11,2,0,0.8707415103625527
8,11,0,2,0.6726363887270386
8,12,3,1,1.0
8,12,2,2,1.0
8,12,1,3,1.0
8,12,0,0,-0.1027937441518515
8,13,3,0,1.0
8,13,0,1,1.0
8,13,1,3,1.0
8,13,2,2,0.7627476328926996
