ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0010600,regulation of auxin biosynthetic process,2/90,17/21198,0.11764705882352941,27.70980392156863,7.193774868366745,0.002325872968307891,0.01363444012752176,0.009518997268655866,AMT1/ASB1,2
GO:0019685,"photosynthesis, dark reaction",2/90,17/21198,0.11764705882352941,27.70980392156863,7.193774868366745,0.002325872968307891,0.01363444012752176,0.009518997268655866,PRK/cPGK2,2
GO:0052482,defense response by cell wall thickening,2/90,17/21198,0.11764705882352941,27.70980392156863,7.193774868366745,0.002325872968307891,0.01363444012752176,0.009518997268655866,ATR4/TRP3,2
GO:0090332,stomatal closure,3/90,62/21198,0.04838709677419355,11.396774193548387,5.353255454334296,0.00233562151525629,0.01363444012752176,0.009518997268655866,ATHLECRK/AT-HSC70-1/AtCOMT,3
GO:1905393,plant organ formation,4/90,135/21198,0.02962962962962963,6.978765432098767,4.55043795443324,0.0026331128772183873,0.015240814365594563,0.01064050074379955,ICK1/AMT1/ASB1/ATLOX1,4
GO:0051607,defense response to virus,3/90,65/21198,0.046153846153846156,10.870769230769232,5.204296272579398,0.0026729340802551,0.015341293922808683,0.010710651378642728,ATGRP8/Rem1.3/cPGK2,3
GO:0062197,cellular response to chemical stress,4/90,136/21198,0.029411764705882353,6.927450980392157,4.5281680171230985,0.0027042179302556664,0.015391507053038501,0.010745708091279097,ATFSD1/AtSOD1/ATNDK1/APX1,4
GO:0046688,response to copper ion,2/90,19/21198,0.10526315789473684,24.79298245614035,6.77497772314265,0.0029083553908588826,0.01628202239308702,0.011367428749431181,ATFSD1/AtSOD1,2
GO:0071941,nitrogen cycle metabolic process,2/90,19/21198,0.10526315789473684,24.79298245614035,6.77497772314265,0.0029083553908588826,0.01628202239308702,0.011367428749431181,URE/ATNR2,2
GO:0090351,seedling development,5/90,231/21198,0.021645021645021644,5.0981240981240985,4.089383681836097,0.003051448271748848,0.016944220891093195,0.011829748113840207,ATFKBP62/PLD/AIM1/AT-HSC70-1/ADAP,5
GO:0031347,regulation of defense response,6/90,336/21198,0.017857142857142856,4.205952380952381,3.8679749016179246,0.0030936845144492165,0.017040213898135603,0.011896766426532217,ATGRP8/ATHLECRK/ATCHIA/cPGK2/ATNPR1/ATERF-4,6
GO:0006558,L-phenylalanine metabolic process,2/90,21/21198,0.09523809523809523,22.43174603174603,6.416081842958109,0.0035520286648365877,0.019408284624667118,0.0135500546119661,ATPAL2/AAS,2
GO:0042537,benzene-containing compound metabolic process,3/90,74/21198,0.04054054054054054,9.54864864864865,4.81016706260474,0.0038594770744308712,0.020511900267718385,0.014320553011137289,KAT2/ATPAL2/ATPAL1,3
GO:0009395,phospholipid catabolic process,2/90,22/21198,0.09090909090909091,21.412121212121214,6.254785587136194,0.0038964815100524944,0.020511900267718385,0.014320553011137289,PLD/PLDBETA,2
GO:0018198,peptidyl-cysteine modification,2/90,22/21198,0.09090909090909091,21.412121212121214,6.254785587136194,0.0038964815100524944,0.020511900267718385,0.014320553011137289,ATRAB8D/PRK,2
GO:0046885,regulation of hormone biosynthetic process,2/90,22/21198,0.09090909090909091,21.412121212121214,6.254785587136194,0.0038964815100524944,0.020511900267718385,0.014320553011137289,AMT1/ASB1,2
GO:0046148,pigment biosynthetic process,4/90,151/21198,0.026490066225165563,6.239293598233995,4.218917384150076,0.0039342004905872745,0.020511900267718385,0.014320553011137289,PR-5/ATRNS1/ATCHS/AtCOMT,4
GO:0048527,lateral root development,4/90,151/21198,0.026490066225165563,6.239293598233995,4.218917384150076,0.0039342004905872745,0.020511900267718385,0.014320553011137289,ICK1/AMT1/ASB1/ATLOX1,4
GO:0090354,regulation of auxin metabolic process,2/90,23/21198,0.08695652173913043,20.481159420289856,6.103822850266018,0.004255837283880202,0.021855164397670507,0.015258363985735903,AMT1/ASB1,2
GO:2001057,reactive nitrogen species metabolic process,2/90,23/21198,0.08695652173913043,20.481159420289856,6.103822850266018,0.004255837283880202,0.021855164397670507,0.015258363985735903,AtCML24/ATNR2,2
GO:0009074,aromatic amino acid family catabolic process,2/90,24/21198,0.08333333333333333,19.627777777777776,5.962111952811176,0.004629966101444255,0.023479658596901435,0.016392518061796025,ATPAL2/AAS,2
GO:0080134,regulation of response to stress,7/90,486/21198,0.01440329218106996,3.3924554183813447,3.4840620541427842,0.004640928126766755,0.023479658596901435,0.016392518061796025,ATGRP8/ATHLECRK/ATCHIA/cPGK2/ATMAPK3/ATNPR1/ATERF-4,7
GO:0048528,post-embryonic root development,4/90,164/21198,0.024390243902439025,5.744715447154471,3.982961173736122,0.005268085392848264,0.026456634730260033,0.01847091859876365,ICK1/AMT1/ASB1/ATLOX1,4
GO:0009962,regulation of flavonoid biosynthetic process,2/90,26/21198,0.07692307692307693,18.11794871794872,5.702855456525998,0.005422027388188912,0.027030983256445453,0.018871904777945276,PR-5/ATCHS,2
GO:0010118,stomatal movement,4/90,168/21198,0.023809523809523808,5.6079365079365076,3.9154024006919292,0.005732538070161012,0.028371909434202692,0.01980808349186071,PLD/ATHLECRK/AT-HSC70-1/AtCOMT,4
GO:0033559,unsaturated fatty acid metabolic process,2/90,27/21198,0.07407407407407407,17.446913580246914,5.583808536426865,0.005839704134243182,0.0286943735517129,0.02003321448551429,AtFAD7/AOS,2
GO:0001666,response to hypoxia,5/90,271/21198,0.01845018450184502,4.345633456334563,3.619465393472297,0.005982549845431603,0.02918629674592704,0.020376654736695615,ATCAL4/AtXTH22/ATNPR1/ATOPR1/ATERF-4,5
GO:0009627,systemic acquired resistance,3/90,87/21198,0.034482758620689655,8.12183908045977,4.346426018287353,0.006066037328580418,0.029383712733478198,0.020514482343015526,PR-5/AtBG2/ATNPR1,3
GO:0036293,response to decreased oxygen levels,5/90,275/21198,0.01818181818181818,4.282424242424242,3.577535835715781,0.006356638658012147,0.030574536643818987,0.021345865916082302,ATCAL4/AtXTH22/ATNPR1/ATOPR1/ATERF-4,5
GO:0070482,response to oxygen levels,5/90,276/21198,0.018115942028985508,4.266908212560387,3.5671780474461063,0.006452674054156437,0.03081941523768424,0.021516829933992395,ATCAL4/AtXTH22/ATNPR1/ATOPR1/ATERF-4,5
GO:0032350,regulation of hormone metabolic process,2/90,29/21198,0.06896551724137931,16.24367816091954,5.363811540157318,0.006717716527724657,0.03164276129955821,0.022091655804423013,AMT1/ASB1,2
GO:0048359,mucilage metabolic process involved in seed coat development,2/90,29/21198,0.06896551724137931,16.24367816091954,5.363811540157318,0.006717716527724657,0.03164276129955821,0.022091655804423013,AtCOMT/ATERF-4,2
GO:0010187,negative regulation of seed germination,2/90,30/21198,0.06666666666666667,15.702222222222222,5.261851758306315,0.007177801236735755,0.0329022700985941,0.022970992301245483,AT-HSC70-1/ADAP,2
GO:0052542,defense response by callose deposition,2/90,30/21198,0.06666666666666667,15.702222222222222,5.261851758306315,0.007177801236735755,0.0329022700985941,0.022970992301245483,ATR4/TRP3,2
GO:0052543,callose deposition in cell wall,2/90,30/21198,0.06666666666666667,15.702222222222222,5.261851758306315,0.007177801236735755,0.0329022700985941,0.022970992301245483,ATR4/TRP3,2
GO:0098869,cellular oxidant detoxification,2/90,30/21198,0.06666666666666667,15.702222222222222,5.261851758306315,0.007177801236735755,0.0329022700985941,0.022970992301245483,ATFSD1/AtSOD1,2
GO:0062013,positive regulation of small molecule metabolic process,2/90,31/21198,0.06451612903225806,15.195698924731182,5.164673645432499,0.0076517723088462605,0.034841069912946644,0.024324581444963907,AIG2/ADAP,2
GO:0043200,response to amino acid,2/90,33/21198,0.06060606060606061,14.274747474747475,4.983207983769657,0.008640880300853526,0.03882711345712472,0.027107470749907537,ARAKIN/ATMAPK3,2
GO:0052386,cell wall thickening,2/90,33/21198,0.06060606060606061,14.274747474747475,4.983207983769657,0.008640880300853526,0.03882711345712472,0.027107470749907537,ATR4/TRP3,2
GO:0042440,pigment metabolic process,4/90,190/21198,0.021052631578947368,4.95859649122807,3.5789908935002397,0.00877929063591311,0.039191212446592516,0.02736166947415645,PR-5/ATRNS1/ATCHS/AtCOMT,4
GO:0046434,organophosphate catabolic process,3/90,101/21198,0.0297029702970297,6.996039603960396,3.9441165502371223,0.00914065858897308,0.04053941439135464,0.028302927825049937,PLD/cPGK2/PLDBETA,3
GO:0009723,response to ethylene,4/90,197/21198,0.02030456852791878,4.7824027072758035,3.4826978932577766,0.009933919695922281,0.043492738155864866,0.030364815264863655,AMT1/ATHCHIB/ASB1/ATERF-4,4
GO:1901698,response to nitrogen compound,4/90,197/21198,0.02030456852791878,4.7824027072758035,3.4826978932577766,0.009933919695922281,0.043492738155864866,0.030364815264863655,AtNIT2/ARAKIN/ATMAPK3/ATNPR1,4
GO:0009867,jasmonic acid mediated signaling pathway,3/90,107/21198,0.028037383177570093,6.603738317757009,3.794513142469206,0.010690762215570245,0.0465082203390731,0.032470099119365214,THI2.1/ATNPR1/ATERF-4,3
GO:0009743,response to carbohydrate,4/90,203/21198,0.019704433497536946,4.641050903119869,3.403703661979438,0.01099873604315544,0.04754516909794408,0.03319405348134187,AtSOD1/ATR4/TRP3/AtCOMT,4
GO:0009629,response to gravity,3/90,109/21198,0.027522935779816515,6.482568807339449,3.747177436436586,0.011239199026453551,0.04827907506331935,0.033706436007834885,TRP3/ATCHS/TOR2,3
