Solution 1,Solution 2,Cluster 1,Cluster 2,rand Similarity
1,14,1,2,0.48435114503816795
1,15,3,3,0.6048881611037559
1,15,1,2,0.509227504405328
1,15,0,1,0.49972511552577226
1,15,2,0,0.4949292792399148
1,16,2,2,0.5577811117634126
1,16,3,1,0.5428405162882183
1,16,1,0,0.5300122343688896
1,16,0,3,0.41364605400316085
1,17,1,0,0.5588663805136795
1,17,0,2,0.5551788396123748
1,17,2,1,0.539982529887814
1,17,3,3,0.4007023019898556
1,18,1,0,0.5794265967877412
1,18,2,1,0.5709179935001681
1,18,0,3,0.5576529899159061
1,18,3,2,0.543809701499105
1,19,1,0,0.5588663805136795
1,19,0,1,0.5546841339107783
1,19,2,2,0.5399993593493687
1,19,3,3,0.4007023019898556
1,20,1,0,0.5750785332187269
1,20,3,1,0.5448404683761917
1,20,2,2,0.527120185154571
1,20,0,3,0.4951845043551444
1,21,3,0,0.5895731718969973
1,21,1,1,0.5739529642338826
1,21,2,3,0.5557694533733427
1,21,0,2,0.5120907256043234
1,22,3,2,0.5918969479929446
1,22,2,3,0.5480516669666183
1,22,1,1,0.507311387358454
1,22,0,0,0.4632221323768254
1,23,2,3,0.5605687025756203
1,23,1,1,0.49080027349136207
1,23,0,0,0.4893054835094419
1,23,3,2,0.4594611982028348
1,24,3,0,0.5892365049510163
1,24,2,3,0.553286982859503
1,24,0,2,0.5263066874561602
1,24,1,1,0.4305593936283605
1,25,0,2,0.5520064333862431
1,25,2,0,0.5514508045370614
1,25,3,3,0.5450308502409477
1,25,1,1,0.5376483226549187
1,26,3,2,0.5798436834196775
1,26,1,0,0.5730119209437944
1,26,0,1,0.5271327767764447
1,26,2,3,0.44084951322881516
1,27,3,0,0.6091616222294102
1,27,1,2,0.5551080884586006
1,27,0,1,0.5430905695611578
1,27,2,3,0.4808495348500664
1,28,3,2,0.5779413575601681
1,28,0,3,0.5408010862186015
1,28,1,1,0.5018894117180825
1,28,2,0,0.4545998110495661
1,29,1,2,0.5667727001071351
1,29,0,1,0.5577212571674347
1,29,3,3,0.5340000075406156
1,29,2,0,0.4862102425876011
1,30,2,3,0.5627935460296726
1,30,0,1,0.543882020215359
1,30,3,2,0.5417146632894665
1,30,1,0,0.4979347746119163
1,31,2,0,0.5597402019021821
1,31,3,3,0.5569726994835037
1,31,1,2,0.5095989404739967
1,31,0,1,0.4968671756013146
1,32,1,0,0.5724558600897194
1,32,2,1,0.5566461541406272
1,32,0,2,0.5005974491040565
1,32,3,3,0.49573206742863446
1,33,1,3,0.562734480693554
1,33,2,1,0.5571328457997159
1,33,3,0,0.5520429911595097
1,33,0,2,0.4991786967195738
1,34,2,2,0.5617091733741078
1,34,1,0,0.5370086031963306
1,34,0,3,0.4974356929212363
1,34,3,1,0.39740567808188326
1,35,3,1,0.5664774422064364
1,35,2,3,0.5285529915853595
1,35,0,0,0.5168352414756301
1,35,1,2,0.4755221478524811
1,36,1,2,0.5562143158272242
1,36,3,0,0.5487684488357125
1,36,2,1,0.5392677289038921
1,36,0,3,0.43289035310437074
1,37,3,1,0.6048881611037559
1,37,1,0,0.5079472987493178
1,37,0,2,0.4992638201044037
1,37,2,3,0.49515394740820046
1,38,3,1,0.5596652093833663
1,38,2,0,0.5383551065062102
1,38,0,2,0.49530368611954123
1,38,1,3,0.4914580762677008
1,39,1,3,0.574889275637171
1,39,3,0,0.5715167965286124
1,39,0,1,0.5223975353272725
1,39,2,2,0.45854375828870264
1,40,3,2,0.5629960809073011
1,40,1,0,0.5516137426237903
1,40,0,1,0.5493478518492243
1,40,2,3,0.49999485519297526
1,41,3,1,0.5602438896639732
1,41,2,3,0.5406349869815478
1,41,0,0,0.4954913624368779
1,41,1,2,0.4914580762677008
1,42,3,0,0.5763563721498371
1,42,1,2,0.5679429663585361
1,42,2,1,0.5564670852396891
1,42,0,3,0.5279044358143831
1,43,1,2,0.5562143158272242
1,43,3,1,0.5487684488357125
1,43,2,3,0.5398551804284991
1,43,0,0,0.4330144344036154
1,44,3,3,0.5629960809073011
1,44,1,1,0.5522505658941407
1,44,0,0,0.5493482759092846
1,44,2,2,0.49999485519297526
1,45,2,0,0.5631504754118004
1,45,0,3,0.5521052731959338
1,45,1,1,0.5383504183396515
1,45,3,2,0.44522863984656563
1,46,1,1,0.5654766134296172
1,46,0,0,0.557225507086689
1,46,3,3,0.5340000075406156
1,46,2,2,0.48612348709717396
1,47,3,1,0.5897165993624709
